well_id|county|spud_date|completion_date
12077|County 1|2015-05-28|2015-12-15
12078|County 1|2013-12-20|2014-09-04
12079|County 9|2012-01-26|2012-05-17
12080|County 8|2019-05-27|2019-12-09
12081|County 8|2018-02-07|2018-06-25
12082|County 8|2017-10-10|2018-12-28
12083|County 8|2015-01-03|2015-08-30
12084|County 9|2008-11-11|2009-06-17
12085|County 6|2010-08-15|2011-09-03
12086|County 8|2013-04-04|2013-10-31
12087|County 6|2006-03-14|2006-05-26
12088|County 9|2022-07-16|2023-09-10
12089|County 9|2014-01-29|2014-08-16
12090|County 9|2010-01-02|2010-05-03
12091|County 9|2014-11-08|2015-07-16
12092|County 8|2021-09-19|2022-04-12
12093|County 9|2008-11-25|2009-02-16
12094|County 1|2013-10-16|2014-05-18
12095|County 9|2010-11-09|2011-03-27
12096|County 6|2017-07-07|2017-11-21
12097|County 1|2016-02-01|2017-07-30
12098|County 9|2012-05-13|2012-08-05
12099|County 9|2022-10-27|2023-06-21
12100|County 8|2013-04-22|2013-09-15
12101|County 9|2009-01-08|2009-07-09
12102|County 9|2012-07-27|2013-04-29
12103|County 9|2010-06-11|2010-09-12
12104|County 1|2010-09-06|2011-04-12
12105|County 8|2012-08-03|2013-01-01
12106|County 8|2013-03-18|2013-06-29
12107|County 8|2013-08-02|2013-10-10
12108|County 6|2014-09-17|2015-09-01
12109|County 1|2012-05-02|2012-09-01
12110|County 8|2014-10-02|2015-08-06
12111|County 6|2012-09-08|2012-12-03
12112|County 6|2010-09-07|2011-01-31
12113|County 9|2014-03-26|2014-10-18
12114|County 8|2013-09-11|2014-02-23
12115|County 1|2013-04-20|2014-05-22
12116|County 8|2014-10-09|2015-04-29
12117|County 6|2021-12-22|2022-06-22
12118|County 1|2013-04-27|2013-08-07
12119|County 8|2012-09-03|2013-01-12
12120|County 6|2022-09-27|2023-05-19
12121|County 8|2023-04-14|2023-11-14
12122|County 9|2011-08-08|2011-12-17
12123|County 1|2015-08-09|2016-02-02
12124|County 1|2016-11-14|2017-12-20
12125|County 6|2017-05-09|2017-11-22
12126|County 1|2019-03-18|2019-10-03
12127|County 3|2012-06-20|2012-07-29
12128|County 8|2012-05-27|2012-11-08
12129|County 1|2015-05-06|2017-02-22
12130|County 1|2014-08-22|2015-01-02
12131|County 6|2013-06-04|2013-12-28
12132|County 1|2017-12-09|2018-06-15
12133|County 8|2013-03-24|2013-09-06
12134|County 1|2018-01-17|2018-09-07
12135|County 1|2013-11-13|2014-07-01
12136|County 1|2017-08-12|2020-02-24
12137|County 6|2019-11-07|2020-06-01
12138|County 9|2022-01-23|2022-09-29
12139|County 9|2015-02-01|2015-07-20
12140|County 5|2012-08-13|2013-03-25
12141|County 8|2020-08-22|2021-04-12
12142|County 1|2015-07-04|2016-08-14
12143|County 6|2011-05-25|2011-08-26
12144|County 1|2022-10-03|2023-08-07
12145|County 9|2014-04-15|2014-07-17
12146|County 9|2018-12-20|2019-05-08
12147|County 9|2012-02-26|2012-06-26
